SID,Location,Replicate,Plot,Clone,Species,Gender,HEMI,CELL,LIG,ASH,SPGR,HT,SNo,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD
YR1_Portland_R4_P507,Portland,4,507,04-BN-046,S. purpurea,F,15.72,33.74,32.57,1.80,0.59,1.35,24,109,4.54,4.19,17.75,3.93,0.0374,105.08,0.0095,3.85,1.19,7.5,3.25,0.88,29.1,535.0,45.4,54.2
YR1_Portland_R5_P648,Portland,5,648,04-BN-046,S. purpurea,F,NA,NA,NA,NA,NA,1.52,17,92,5.41,4.02,15.00,3.38,0.0308,109.74,0.0091,4.21,1.01,8.27,4.16,0.62,33.1,693.1,50.3,40.0
YR1_Portland_R6_P767,Portland,6,767,04-BN-046,S. purpurea,F,NA,NA,NA,NA,NA,1.38,19,94,4.95,3.80,18.00,3.87,0.0383,101.04,0.0099,3.91,1.17,8.78,3.35,0.63,34.2,664.4,54.2,32.3
YR1_WVU_R1_P45,WVU,1,45,04-BN-046,S. purpurea,F,16.68,37.07,29.97,2.27,0.61,1.34,16,94,5.88,4.38,14.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,709.0,56.3,NA
YR1_WVU_R2_P207,WVU,2,207,04-BN-046,S. purpurea,F,16.01,34.27,32.33,2.40,0.52,1.75,29,187,6.45,9.87,16.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,715.0,57.3,NA
YR1_WVU_R3_P299,WVU,3,299,04-BN-046,S. purpurea,F,16.08,35.92,30.58,2.25,0.57,1.30,31,207,6.68,11.68,20.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,486.5,46.5,NA
YR1_WVU_R4_P490,WVU,4,490,04-BN-046,S. purpurea,F,17.45,37.17,29.91,2.44,0.51,0.65,4,17,4.25,0.78,16.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7,336.7,52.9,NA
YR1_WVU_R5_P539,WVU,5,539,04-BN-046,S. purpurea,F,NA,NA,NA,NA,NA,1.78,5,12,2.40,0.24,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,NA
YR1_WVU_R6_P674,WVU,6,674,04-BN-046,S. purpurea,F,NA,NA,NA,NA,NA,1.02,14,87,6.21,4.44,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9,NA
YR1_Geneva_R1_P97,Geneva,1,97,04-202-058,S. purpurea,M,19.63,40.08,24.99,1.62,0.42,2.50,23,239,10.39,20.79,13.00,14.22,0.1507,94.36,0.0106,9.06,1.98,18.87,4.58,0.5,28.9,789.3,36.7,36.9
