SID,Location,Replicate,Plot,Clone,Species,Gender,CDIA,CFOR,VPH,FPH,HEMI,CELL,LIG,ASH,SPGR,HT,Sno,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD,YLD
YR2_WVU_R5_P563,WVU,5,563,05X-293-047,S. purpurea,M,17,60.8,108,81,NA,NA,NA,NA,NA,3.58,6,79,13.17,8.54,NA,11.54,0.1308,88.23,0.01133,7.45,2,28.01,3.72,0.18,32.2,601.0,NA,NA,2.48
YR2_WVU_R6_P659,WVU,6,659,05X-293-047,S. purpurea,M,17,60.8,102,81,NA,NA,NA,NA,NA,3.48,16,171,10.69,15.87,NA,3.77,0.0685,55.04,0.01817,4.28,1.19,17.87,3.59,0.15,32.4,411.5,NA,NA,1.61
YR2_Geneva_R1_P76,Geneva,1,76,05-OSU-063,S. purpurea,F,34.3,41.6,111,103,18.4997,42.7215,26.0643,1.3191,0.42,3.40,26,378,14.54,52.37,12.95,4.35,0.0468,92.95,0.01076,3.76,1.65,9.11,2.28,0.66,29.4,883.3,48.33,36.70,5.41
YR2_Geneva_R2_P165,Geneva,2,165,05-OSU-063,S. purpurea,F,38.3,38.5,111,103,18.3802,42.8082,25.9520,1.5645,0.40,3.84,34,472,13.88,63.15,12.60,10.99,0.1151,95.48,0.01047,6.09,2.44,15.27,2.49,0.59,29.4,634.6,52.70,34.63,9.59
YR2_Geneva_R3_P266,Geneva,3,266,05-OSU-063,S. purpurea,F,31.6,44.0,103,91,18.4300,42.9350,25.9873,1.4188,0.43,3.30,32,369,11.53,46.16,12.15,3.87,0.0707,54.74,0.01827,2.38,1.73,6.78,1.38,1.06,29.6,761.0,48.27,43.20,4.55
YR2_Geneva_R4_P494,Geneva,4,494,05-OSU-063,S. purpurea,F,39.1,37.9,111,103,18.9657,42.3296,25.5503,1.4658,0.40,3.80,26,414,15.92,65.60,14.45,7.98,0.0903,88.37,0.01132,4.93,2.4,12.3,2.05,0.66,26.7,710.1,47.47,39.23,6.27
YR2_Geneva_R5_P584,Geneva,5,584,05-OSU-063,S. purpurea,F,38.9,38.1,111,103,NA,NA,NA,NA,NA,3.52,20,245,12.25,30.18,18.15,11.35,0.1203,94.35,0.01060,6.25,2.47,14.49,2.53,0.68,26.4,616.7,47.63,39.67,5.29
YR2_Geneva_R6_P716,Geneva,6,716,05-OSU-063,S. purpurea,F,30.8,44.7,111.0,103,NA,NA,NA,NA,NA,2.43,25,272,10.88,27.36,11.20,4.72,0.0763,61.86,0.01617,3.98,1.51,8.13,2.63,0.9,26.7,283.2,42.30,44.40,2.34
YR2_Portland_R1_P6,Portland,1,6,05-OSU-063,S. purpurea,F,16.4,61.7,NA,NA,17.0590,40.2645,28.2232,1.5353,0.43,3.42,22,241,10.95,28.30,20.00,9.67,0.097,99.69,0.01003,6.55,1.66,10.7,3.94,1.06,25.2,702.7,52.1,56.0,3.69
YR2_Portland_R2_P209,Portland,2,209,05-OSU-063,S. purpurea,F,18.6,58.6,NA,NA,16.9833,37.2086,29.6506,2.1289,0.41,2.98,13,131,10.08,13.09,15.00,8.02,0.0791,101.39,0.00986,5.27,2.02,28.57,2.61,0.12,32.6,659.0,47.1,50.0,0.98
YR2_Portland_R3_P290,Portland,3,290,05-OSU-063,S. purpurea,F,22.1,54.1,NA,NA,16.9965,42.9629,27.8449,1.3851,0.55,2.52,12,87,7.25,5.40,11.50,2.27,0.0338,67.16,0.01489,3.23,0.79,7.32,4.09,0.53,26.1,281.8,36.7,33.4,0.49
YR2_Portland_R4_P441,Portland,4,441,05-OSU-063,S. purpurea,F,35.4,40.7,NA,NA,17.8508,42.0962,27.0721,1.0979,0.45,3.69,19,244,12.84,31.20,21.50,12.44,0.0989,125.78,0.00795,8.29,1.78,13.65,4.65,0.84,29.6,579.0,43.3,51.8,3.07
YR2_Portland_R5_P531,Portland,5,531,05-OSU-063,S. purpurea,F,17.9,59.6,NA,NA,NA,NA,NA,NA,NA,3.34,8,96,12.00,11.14,16.00,13.41,0.1698,78.98,0.01266,6.68,2.48,15.93,2.69,0.66,31.2,531.9,41.7,57.9,4.06
YR2_Portland_R6_P749,Portland,6,749,05-OSU-063,S. purpurea,F,21.5,54.8,NA,NA,NA,NA,NA,NA,NA,3.25,12,132,11.00,14.15,20.00,16.03,0.1691,94.80,0.01055,8.93,2.38,17.84,3.74,0.63,26.8,332.9,47.7,37.0,1.84
YR2_WVU_R1_P41,WVU,1,41,05-OSU-063,S. purpurea,F,28,47.4,115,102,17.4378,42.0801,27.1387,1.2979,0.42,3.76,22,242,11.00,26.36,NA,11.66,0.1552,75.13,0.01331,6.43,2.2,15.14,2.93,0.64,35.4,716.7,NA,48.7,4.61
