REP,COL,ROW,PLOT,FAMILY,DAM,SIRE,TYPE,CLONE,SEX,STC.Y0,HT,HCL,CLS,LIG,ASH,CDIA,FORM,STN,SDIA,SA,LFW,LA,LFL,LFWT,LFP,SLA,SPAD1,RUST
1,4,215,1040,317,9882-41,9882-34,progeny,11X-317-242,F,2,320,19.55189805,41.66845784,24.54843516,1.10475015,30.4,45.07529007,18,8.777777778,12.29933524,0.1491,17.88,9.59,2.24,20.61,119.9195171,59.8,0.14
1,4,216,1041,317,9882-41,9882-34,progeny,11X-317-175,M,1,333,19.24313755,39.4145723,25.97461577,1.433220589,38.1,38.65980825,31,8.193548387,18.70818425,0.0967,14.61,8.87,2.17,20.37,151.0858325,56.1,0.13
1,4,221,1046,317,9882-41,9882-34,progeny,10X-317-191,M,2,290,21.48139444,41.52714905,23.80035658,1.062753552,28.3,47.12398058,22,6.818181818,8.937831099,0.0973,16.03,9.1,2.07,33.62,164.7482014,50.2,0.07
1,4,222,1047,317,9882-41,9882-34,progeny,11X-317-165,F,1,352,20.9851878,41.6925527,23.33940982,1.036674132,38,38.73328318,33,9.454545455,25.7453518,0.0989,15.26,8.5,2.1,23.46,154.29727,48.2,0.13
1,4,224,1049,317,9882-41,9882-34,progeny,11X-317-038,M,2,228,21.2532365,41.25678795,23.0756377,0.823296654,40,37.30740066,16,7.9375,8.568693963,0.095,11.38,7.74,1.91,51.04,119.7894737,54.2,0.001
1,4,225,1050,317,9882-41,9882-34,progeny,11X-317-203,F,1,296,20.70527167,40.03215688,24.66688542,1.101378212,36.6,39.78708858,22,9.545454545,16.71327292,0.1115,14.28,8.65,1.95,38.43,128.0717489,54.5,0.04
1,4,226,1051,317,9882-41,9882-34,progeny,11X-317-088,F,1,263,20.94837404,41.36149737,23.29821156,0.896935047,36,40.25347686,42,7.738095238,21.6377194,0.0747,9.81,8.16,1.43,18.75,131.3253012,43.7,0.21
1,4,228,1053,317,9882-41,9882-34,progeny,10X-317-145,M,1,296,18.72248784,40.93964964,25.33444483,1.52415174,45.6,33.7596012,8,8.125,4.673119072,0.1821,19.67,10.11,2.4,42.81,108.0175728,54.7,0.03
1,4,229,1054,317,9882-41,9882-34,progeny,11X-317-005,M,1,277,18.83635406,38.93029443,26.02620046,2.053668121,32.4,43.25105396,21,8.904761905,13.72090591,0.0925,12.19,8.44,1.73,52.18,131.7837838,57.7,0.21
1,4,230,1055,317,9882-41,9882-34,progeny,10X-317-098,F,2,281,18.75738848,40.98995706,25.48608451,1.757359731,36,40.25347686,24,7.458333333,11.01913623,0.1258,17.43,8.49,2.51,20.2,138.5532591,51.5,0.03
1,4,231,1056,317,9882-41,9882-34,progeny,10X-317-041,M,2,315,19.02293693,39.61522021,25.42726864,1.676501858,31.4,44.14821859,25,8.36,15.35453409,0.1633,21.6,11.84,2.28,24.65,132.2718922,56.1,0.01
1,4,232,1057,317,9882-41,9882-34,progeny,11X-317-097,F,2,322,19.44263861,40.36825933,24.19113901,1.786534226,38,38.73328318,25,9.56,20.3967903,0.1182,16.04,7.65,2.55,17.64,135.7021997,49.7,0.005
1,4,234,1059,317,9882-41,9882-34,progeny,11X-317-003,F,1,303,20.36736462,42.8700615,23.56187051,1.279437182,25,50.64105449,13,8.307692308,7.806857744,0.1096,13.56,7.62,2.11,17.46,123.7226277,52.1,0
1,4,236,1061,317,9882-41,9882-34,progeny,10X-317-044,F,2,259,18.64322971,40.94500489,25.06860234,1.623320233,30,45.45471886,5,8.6,2.992367003,0.0853,11.96,8.07,1.79,17.38,140.2110199,54.8,0.07
1,4,237,1062,317,9882-41,9882-34,progeny,11X-317-289,M,1,306,19.07490427,41.35211905,24.60736036,1.390382211,35.7,40.49008712,23,9.304347826,17.20021978,0.167,21.67,11.26,2.39,33.95,129.760479,59.9,0.12
1,4,238,1063,317,9882-41,9882-34,progeny,10X-317-051,F,2,269,19.09227067,39.98445995,25.17153249,1.464058766,32.1,43.51712308,17,7.647058824,8.466592201,0.1381,16.82,9.39,2.23,36.18,121.7958001,50,0.06
1,4,239,1064,317,9882-41,9882-34,progeny,11X-317-196,F,2,227,18.93915794,38.3776139,25.84279683,2.087504988,27.8,47.63288592,11,8.727272727,7.147123287,0.0531,7.61,6.36,1.53,27.29,143.3145009,53.4,0.23
1,4,241,1066,317,9882-41,9882-34,progeny,10X-317-131,M,1,270,18.83674326,39.95234651,25.89331335,1.713361642,38.1,38.65980825,26,8.038461538,14.39634834,0.1328,18.45,10,2.26,22.12,138.9307229,52.3,0.05
1,4,243,1068,317,9882-41,9882-34,progeny,11X-317-225,F,0,269,19.11228878,36.544807,27.30400681,1.979064159,24.8,50.86653314,18,7.444444444,8.717919614,0.092,11.52,6.77,2.13,15.63,125.2173913,60.1,0.01
1,4,244,1069,317,9882-41,9882-34,progeny,10X-317-053,F,1,267,19.23259381,39.62353376,25.29033506,1.454211113,43.6,34.95672651,39,8.820512821,25.88672347,0.1193,15.87,9.35,2.09,20.29,133.0259849,51.1,0.001
1,4,247,1072,317,9882-41,9882-34,progeny,10X-317-045,M,0,312,19.11131943,39.39675718,25.39277493,1.623942041,21.9,54.30260571,19,9.210526316,14.03506518,0.0869,11.75,6.3,2.25,15.63,135.2128884,49.9,0.01
1,4,248,1073,317,9882-41,9882-34,progeny,11X-317-125,M,2,308,19.32555018,39.69714155,25.92667842,1.47744054,45,34.11109446,36,8.166666667,20.67167966,0.1219,14.87,9.61,2.02,21.35,121.9852338,53.2,0.01
1,4,249,1074,317,9882-41,9882-34,progeny,10X-317-193,M,2,300,18.83089927,40.25069958,25.46192039,1.332556953,37.1,39.40527109,20,7.1,8.450884238,0.0974,12.88,8.21,1.89,18.02,132.238193,56.7,0
1,4,252,1077,317,9882-41,9882-34,progeny,11X-317-059,F,2,328,18.51459371,40.38254975,25.87823561,1.601800046,43.1,35.26766665,14,9.142857143,10.39867168,0.1448,17.56,8.63,2.42,19.7,121.2707182,53.9,0.16
1,4,255,1080,82,94006,94001,progeny,12X-082-045,M,2,309,18.73819971,41.1208111,25.35394061,1.562739098,51.8,30.47327845,28,9.392857143,21.59059551,0.1464,17.56,9.63,2.19,21.02,119.9453552,35,NA
1,4,256,1081,317,9882-41,9882-34,progeny,11X-317-275,F,2,300,19.1623803,41.09143445,25.21520248,1.271762101,29.7,45.7425757,19,8.105263158,11.0741141,0.1154,15.66,8.97,2.13,26.59,135.7019064,60.1,0.27
1,4,257,1082,317,9882-41,9882-34,progeny,11X-317-146,F,1,328,19.28011868,42.67538027,24.45494273,1.335719053,26.2,49.3183033,18,9.166666667,13.07687942,0.1423,24.77,12.96,2.49,22.5,174.0688686,49.3,0.2
1,4,261,1086,317,9882-41,9882-34,progeny,11X-317-015,F,2,275,18.70109779,41.99330266,25.24459637,1.53433808,25.1,50.52885796,11,8.636363636,7.092145415,0.147,16.71,8.71,2.21,25.41,113.6734694,51.7,0.03
1,4,262,1087,317,9882-41,9882-34,progeny,11X-317-057,F,1,315,19.45844909,44.46301308,23.3232605,1.085747096,27.6,47.83878784,16,8.5,9.864600932,0.1983,24.02,13.62,2.2,28.5,121.1296016,49.7,0.01
1,4,265,1090,317,9882-41,9882-34,progeny,11X-317-036,F,1,320,18.44659085,39.22582847,25.93860517,2.101307379,32.2,43.42814269,28,8,15.15818455,0.1306,16.96,9.45,2.13,34.31,129.8621746,51.1,0.02
1,4,267,1092,317,9882-41,9882-34,progeny,10X-317-055,F,1,305,19.04284231,42.03788191,25.09891562,1.40200702,28.2,47.22509709,17,8.875,10.71283095,0.1188,15.99,9.2,5.06,29.91,134.5959596,50.2,0.001
1,4,269,1094,82,94006,94001,progeny,12X-082-087,M,2,293,18.44772533,41.86698762,25.40781722,1.576798303,42.7,35.51990379,26,7.961538462,14.17643685,0.129,16.85,8.55,2.4,24.37,130.620155,55,NA
1,4,271,1096,317,9882-41,9882-34,progeny,11X-317-188,M,2,269,18.76793612,40.7633411,25.5478904,1.665614726,39.9,37.37656318,20,8.1,10.75995484,0.074,9.61,7.42,1.58,40.72,129.8648649,39.5,0.04
1,4,272,1097,317,9882-41,9882-34,progeny,11X-317-186,F,2,249,18.73085472,40.53242812,25.73290915,1.509176328,37,39.48114333,17,7.176470588,7.319910883,0.078,10.37,7.87,1.62,44.52,132.9487179,52.1,0.005
2,5,1,1098,317,9882-41,9882-34,progeny,11X-317-190,M,1,268,18.40160689,39.75284779,26.24101512,1.71404755,50.3,31.21436341,39,9.179487179,27.64601535,0.093,13.55,7.22,2.28,34.7,145.6989247,45.2,0.09
2,5,2,1099,317,9882-41,9882-34,progeny,11X-317-056,M,1,250,18.96777757,39.5890363,25.11622702,2.586352312,42.4,35.71114623,14,7.857142857,7.099999397,0.114,11.29,7.01,1.95,33.92,99.03508772,41.7,0.03
2,5,3,1100,317,9882-41,9882-34,progeny,11X-317-133,F,0,294,19.47288079,41.01712781,25.25987329,1.407868062,28.4,47.02319437,14,7.571428571,7.021459581,0.0701,9.78,6.67,1.69,19.56,139.5149786,62.3,0.04
2,5,4,1101,317,9882-41,9882-34,progeny,10X-317-073,F,1,308,19.89473694,41.22849497,24.31862512,1.191607052,23.8,52.01586186,24,8.666666667,15.8650429,0.1002,12.65,8.89,1.74,18.85,126.247505,56.8,0.11
2,5,6,1103,317,9882-41,9882-34,progeny,10X-317-125,M,2,330,19.16924445,40.96596517,25.12005846,1.392831808,38,38.73328318,28,10.03571429,24.90497576,0.1861,22.9,11.14,2.62,28.63,123.0521225,60.6,0.02
2,5,7,1104,317,9882-41,9882-34,progeny,10X-317-155,M,2,386,19.23448571,41.33554572,25.33985058,1.341643233,50.8,30.96375653,21,9.476190476,16.249888,0.133,16.62,9.3,2.16,21.05,124.962406,59.9,0.1
2,5,8,1105,82,94006,94001,progeny,12X-082-029,M,2,345,17.38081568,39.23486579,27.02138909,1.950850734,51,30.86452598,28,8.321428571,16.67400301,0.0557,8.47,7.18,1.47,18.47,152.064632,54.5,NA
2,5,9,1106,82,94006,94001,progeny,12X-082-033,F,2,293,18.28603046,41.5780791,25.70033973,1.159274947,38.2,38.58656813,16,9.1875,12.15010959,0.094,13.21,8.44,1.8,31.74,140.5319149,58.2,NA
2,5,10,1107,82,94006,94001,progeny,12X-082-091,F,2,358,18.75121799,43.28491033,24.7964075,1.048355235,27.9,47.53043832,33,10.06060606,29.73517447,0.1388,21.27,10.81,2.37,57.75,153.2420749,56.9,NA
2,5,11,1108,317,9882-41,9882-34,progeny,10X-317-019,M,2,362,18.46248122,40.76674496,25.72819146,1.329229142,37.8,38.880941,17,8.058823529,9.448339906,0.0867,12.65,8.31,1.98,28.82,145.905421,54.3,0.15
2,5,12,1109,317,9882-41,9882-34,progeny,11X-317-006,M,1,324,21.44259419,42.09557679,23.71240311,1.105463371,26.9,48.57011779,21,9.333333333,15.83362697,0.0897,14.65,8.95,1.98,19.95,163.3221851,49.5,0.001
